Harvest,Region,SHY,Irrigation_type,Value
2021 YALA,GAMPAHA,Sown,RainFed,5366
2021 YALA,KALUTARA,Sown,RainFed,8195
2021 YALA,KANDY,Sown,RainFed,2218
2021 YALA,MATALE,Sown,RainFed,856
2021 YALA,NUWARAELIYA,Sown,RainFed,1
2021 YALA,GALLE,Sown,RainFed,7459
2021 YALA,MATARA,Sown,RainFed,6450
2021 YALA,HAMBANTOTA,Sown,RainFed,1093
2021 YALA,JAFFNA,Sown,RainFed,NA
2021 YALA,MANNAR,Sown,RainFed,NA
2021 YALA,VAVUNIYA,Sown,RainFed,NA
2021 YALA,MULATIVU,Sown,RainFed,NA
2021 YALA,KILLINOCHCHI,Sown,RainFed,NA
2021 YALA,BATTICALOA,Sown,RainFed,1998
2021 YALA,AMPARA,Sown,RainFed,637
2021 YALA,TRINCOMALEE,Sown,RainFed,515
2021 YALA,KURUNEGALA,Sown,RainFed,21174
2021 YALA,PUTTALAM,Sown,RainFed,1208
2021 YALA,ANURADHAPURA,Sown,RainFed,521
2021 YALA,POLONNARUWA,Sown,RainFed,NA
